name,email,phone_number
customer01,customer0110@gmail.com,01111186690
customer02,customer0310@gmail.com,01111186691
customer03,customer0310@gmail.com,01111186692
customer04,customer0410@gmail.com,01111186693
customer05,customer0510@gmail.com,01111186694
customer06,customer0601@gmail.com,01111186695
customer07,customer0610@gmail.com,01111186696
customer08,customer0710@gmail.com,01111186697
customer09,customer0801@gmail.com,01111186698
customer10,customer0910@gmail.com,01111186699
customer11,customer0180@gmail.com,01111186600
customer12,customer0901@gmail.com,01111186601
customer13,customer01001@gmail.com,01111186602
customer14,customer016071@gmail.com,01111186603
customer15,customer0141@gmail.com,01111186604
